vacancy_id,name,salary_from,salary_to,salary_currency,experience,schedule,employment,area,employer_name,professional_roles,key_skills,published_at,url,search_query
129773270,Ведущий инженер технолог по развитию продукта СТМ,,,,between3And6,fullDay,full,Подольск (Московская область),ПИК-специализированный застройщик,Технолог,"AutoCAD,Автоматизация технологических процессов",2026-02-09T19:31:58+0300,https://hh.ru/vacancy/129773270,материаловедение
129773271,Ведущий инженер технолог по развитию продукта СТМ,,,,between3And6,fullDay,full,Москва,ПИК-специализированный застройщик,Технолог,"AutoCAD,Автоматизация технологических процессов",2026-02-09T19:31:58+0300,https://hh.ru/vacancy/129773271,материаловедение
129526310,Руководитель центра аддитивного производства,,250000,RUR,between1And3,fullDay,full,Зеленоград,ОНСИНТ,Руководитель группы разработки,"Управление командой,Аналитическое мышление,CAD/САМ-системы,SLM,SLS,Управление процессами,Чтение чертежей",2026-02-09T15:17:21+0300,https://hh.ru/vacancy/129526310,материаловедение
129526136,Инженер-конструктор НСО,,165000,RUR,between1And3,fullDay,full,Москва,Турбосервис Рус,"Инженер-конструктор, инженер-проектировщик","Компас-3D,SolidWorks,Технологии машиностроения и приборостроения,Проектно-конструкторская деятельность,АСУ,ЕСКД,Авторский надзор",2026-02-09T15:14:19+0300,https://hh.ru/vacancy/129526136,материаловедение
129348071,Инженер-технолог,90000,,RUR,between1And3,fullDay,full,Санкт-Петербург,НПФ ЦКБА,Технолог,,2026-02-09T11:15:17+0300,https://hh.ru/vacancy/129348071,материаловедение
129516616,Менеджер по продажам,,,,between3And6,fullDay,full,Екатеринбург,Р-Сталь,"Менеджер по продажам, менеджер по работе с клиентами","CRM,Корпоративные продажи,Развитие продаж,Холодные продажи,Активные продажи",2026-02-09T12:37:52+0300,https://hh.ru/vacancy/129516616,материаловедение
130129536,Инженер-металловед,80000,,RUR,between1And3,fullDay,full,Екатеринбург,Арамильский Завод Передовых Технологий,Инженер по качеству,"Умение работать в команде,Точность и внимательность к деталям,Работа с документами",2026-02-09T13:50:42+0300,https://hh.ru/vacancy/130129536,материаловедение
84871047,Сборщик интернет-заказов ВкусВилл (м. Коньково),78400,134400,RUR,noExperience,flexible,full,Москва,ВкусВилл,"Упаковщик, комплектовщик","Обслуживание покупателей,Контроль сроков годности,Работа в команде,Приемка товара,Оформление витрин,Кассовые чеки,Материаловедение,Учет товаров,Выкладка товара,Заказ товара,Линейная выкладка товара,Ротация товара",2026-02-09T09:09:18+0300,https://hh.ru/vacancy/84871047,материаловедение
98558506,Сборщик интернет-заказов (Апрелевка),78400,134400,RUR,noExperience,flexible,full,Селятино (Московская область),ВкусВилл,"Упаковщик, комплектовщик","Обслуживание покупателей,Контроль сроков годности,Работа в команде,Работа с кассой,Приемка товара,Кассовые чеки,Проведение инвентаризаций,Обслуживание бытовой техники,Оформление блюд,Оформление торгового зала,Кассовые операции,Акты списания товаров,Материаловедение",2026-02-09T09:09:14+0300,https://hh.ru/vacancy/98558506,материаловедение
130294433,Руководитель Центра аддитивных технологий (ЦАТ),,,,between1And3,fullDay,full,Санкт-Петербург,Диполь,Другое,,2026-02-09T16:32:41+0300,https://hh.ru/vacancy/130294433,материаловедение
129952033,Товаровед в Ozon fresh (Саларьево),85000,,RUR,between1And3,shift,full,Москва,Ozon,Товаровед,"Выкладка товара,Учет остатков,Оптимизация товарных запасов,Контроль упаковки,Приемка товара,Ротация товара,Оприходование товара,Отчеты по товарам,Планирование товарных запасов,Складской документооборот,Управление складскими запасами,Складской Учет,Контроль остатков,Организация складского хозяйства,Материаловедение,Списание ТМЦ,Контроль маркировки,Хозяйственное обеспечение магазина,Учет товаров,Учет ТМЦ,Акты списания товаров,Обучение персонала,Контроль сроков годности,Проведение инвентаризаций,1С: Склад,Линейная выкладка товара,1С: Торговля и склад,Пополнение товарных запасов,Контроль качества продукции,Контроль качества готовой продукции",2026-02-09T10:05:00+0300,https://hh.ru/vacancy/129952033,материаловедение
129726496,Мастер ногтевого сервиса/технолог бренда,6000,,RUR,between3And6,fullDay,part,Москва,Белова Елена Владимировна,Мастер ногтевого сервиса,"Контроль качества,Обучение и развитие",2026-02-08T18:22:00+0300,https://hh.ru/vacancy/129726496,материаловедение
129740787,Начальник лаборатории неразрушающего контроля,250000,,RUR,between3And6,fullDay,full,Москва,ДНПП,Другое,,2026-02-09T09:42:05+0300,https://hh.ru/vacancy/129740787,материаловедение
120680003,Менеджер по продажам (промышленное оборудование),120000,,RUR,between1And3,fullDay,full,Челябинск,НПХ УСПС,"Менеджер по продажам, менеджер по работе с клиентами","Активные продажи,B2B Продажи,Поиск и привлечение клиентов,Заключение договоров,Теплые продажи,Прямые продажи,Подготовка коммерческих предложений,Работа на выставках",2026-02-09T17:26:40+0300,https://hh.ru/vacancy/120680003,материаловедение
