skill_name,vacancy_count,avg_salary_from,avg_salary_to,salary_currency,search_query
1С: Предприятие 8,12,118000,86250,RUR,"DevOps,аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,электроника"
Ведение отчётности,12,105800,78750,RUR,"горное дело,информатика и вычислительная техника,материаловедение,металлургия,энергетика"
Настройка сетевых подключений,12,100286,91000,RUR,"DevOps,информатика и вычислительная техника"
Организация безопасной эксплуатации оборудования,12,123714,163000,RUR,"информатика и вычислительная техника,экология промышленная,электроника,энергетика"
5 группа по электробезопасности,12,120714,112000,RUR,энергетика
Spark,12,255000,,RUR,"DevOps,data scientist,machine learning инженер"
Анализ конкурентной среды,11,130386,154535,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,электроника"
Консультативные продажи,11,102222,190000,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Сборка ПК,11,89744,100300,RUR,"DevOps,информатика и вычислительная техника,материаловедение,электроника"
Теплые продажи,11,103333,283333,RUR,"аддитивные технологии,материаловедение,металлургия,электроника"
Управление производственным персоналом,11,127400,150000,RUR,"аддитивные технологии,горное дело,материаловедение,энергетика"
Розничная торговля,11,81412,90714,RUR,"аддитивные технологии,материаловедение,металлургия,электроника"
Планирование,11,154833,224000,RUR,"data scientist,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,энергетика"
Взаимодействие с разрешительными органами,11,90200,166000,RUR,"материаловедение,экология промышленная"
АСУ ТП,11,131250,135000,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,экология промышленная,электроника"
Организация работы сотрудников,11,104000,155167,RUR,"горное дело,материаловедение,металлургия,энергетика"
Выявление потребностей,11,106667,333333,RUR,"аддитивные технологии,металлургия,электроника,энергетика"
3 группа по электробезопасности,11,88400,98333,RUR,"металлургия,электроника,энергетика"
Computer Vision,11,227000,245000,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника,нанотехнологии"
OpenCV,11,176188,262500,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника,нанотехнологии,электроника"
TCP/IP,11,130250,181333,RUR,"DevOps,аддитивные технологии,информатика и вычислительная техника,электроника"
C++,11,202071,215000,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника,электроника"
Администрирование сетевого оборудования,11,70111,74167,RUR,"DevOps,информатика и вычислительная техника,электроника"
Ремонт электрооборудования,11,134800,142800,RUR,электроника
AWS,11,4250,400000,RUR,DevOps
Scikit-learn,11,126250,166750,RUR,"data scientist,machine learning инженер"
MLflow,11,265000,352500,RUR,"data scientist,machine learning инженер"
Слесарные работы,10,84444,107143,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,электроника"
Проверка исправности сварочного оборудования,10,110914,147546,RUR,материаловедение
ЕСТД,10,106722,141667,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение"
Сбор и анализ информации,10,75000,235000,RUR,"информатика и вычислительная техника,материаловедение,металлургия"
Чтение проектной документации,10,106933,122067,RUR,"аддитивные технологии,материаловедение,металлургия,нанотехнологии,энергетика"
Умение работать в условиях многозадачности,10,107500,108750,RUR,"горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Обслуживание покупателей,10,70257,100218,RUR,"материаловедение,металлургия,электроника"
Планирование продаж,10,119286,220000,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Клиентоориентированность,10,113000,209079,RUR,"аддитивные технологии,материаловедение,металлургия,электроника"
Строительный контроль,10,116600,141143,RUR,"материаловедение,экология промышленная,энергетика"
Ведение отчетности,10,69948,72862,RUR,"материаловедение,металлургия,экология промышленная,электроника,энергетика"
КИПиА,10,105750,118750,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,электроника,энергетика"
Документооборот,10,136250,105000,RUR,"горное дело,информатика и вычислительная техника,экология промышленная,энергетика"
Работа с оргтехникой,10,92167,102750,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,экология промышленная,электроника"
Умение принимать решения,10,128750,188333,RUR,"DevOps,аддитивные технологии,горное дело,электроника,энергетика"
Управленческие навыки,10,160800,208429,RUR,"DevOps,machine learning инженер,горное дело,информатика и вычислительная техника,экология промышленная,электроника"
Настройка ПО,10,80651,95286,RUR,"DevOps,информатика и вычислительная техника"
1С программирование,10,80000,106000,RUR,"DevOps,информатика и вычислительная техника,экология промышленная"
Разработка электросхем,10,156667,246667,RUR,электроника
Техническая эксплуатация оборудования,10,146000,149000,RUR,"электроника,энергетика"
Электрические системы и слаботочные системы,10,135417,118333,RUR,"аддитивные технологии,электроника,энергетика"
RAG,10,205000,270000,RUR,"data scientist,machine learning инженер"
Разработка поисковых технологий,10,,,,"data scientist,machine learning инженер"
Проведение инвентаризаций,9,102111,134200,RUR,"горное дело,материаловедение,металлургия,электроника"
CRM,9,115714,381250,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная"
Atlassian Jira,9,126667,,RUR,"DevOps,информатика и вычислительная техника,материаловедение,электроника"
Исполнительность,9,85286,122500,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Управление продажами,9,102143,166000,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная"
Подготовка отчетов,9,99637,95000,RUR,"горное дело,материаловедение,экология промышленная"
Работа с CRM,9,110000,222000,RUR,"аддитивные технологии,материаловедение,металлургия,электроника"
Навыки переговоров,9,162500,287500,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Управление персоналом,9,83750,101890,RUR,"аддитивные технологии,металлургия,экология промышленная,энергетика"
Стрессоустойчивость,9,104560,152000,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,металлургия,экология промышленная,электроника,энергетика"
