ps_code,name,area,activity_type,reg_number,order_date,responsible_org
06.017,Руководитель разработки программного обеспечения,"Связь, информационные и коммуникационные технологии",Руководство разработкой компьютерного программного обеспечения,190,2014-09-17,Совет по профессиональным квалификациям в области информационных технологий
40.053,Специалист по организации постпродажного обслуживания и сервиса,Сквозные виды профессиональной деятельности,Организация постпродажного обслуживания и сервиса,191,2014-10-31,Совет по профессиональным квалификациям в машиностроении
40.054,Специалист в области охраны труда,Сквозные виды профессиональной деятельности,"Деятельность по планированию, организации, контролю и совершенствованию системы управления охраной труда",192,2014-08-04,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
13.015,Специалист в области декоративного садоводства,Сельское хозяйство,Производственно-технологическая деятельность в области декоративного садоводства,193,2014-09-08,Совет по профессиональным квалификациям агропромышленного комплекса
25.013,Специалист по надежности ракетно-космической техники,Ракетно-космическая промышленность,Организация работ по обеспечению надежности ракетно-космической техники,194,2014-09-30,Совет по профессиональным квалификациям в области ракетной техники и космической деятельности
06.018,Инженер по технической эксплуатации линий связи,"Связь, информационные и коммуникационные технологии",Техническая эксплуатация линий связи,195,2014-10-31,"Совет по профессиональным квалификациям в области телекоммуникаций, почтовой связи и радиотехники"
40.055,Специалист по системам защитных покрытий поверхности зданий и сооружений опасных производственных объектов,Сквозные виды профессиональной деятельности,Защита от коррозии поверхности зданий и сооружений опасных производственных объектов с использованием покрытий,196,2014-10-13,Совет по профессиональным квалификациям в нефтегазовом комплексе
06.019,Технический писатель (специалист по технической документации в области информационных технологий),"Связь, информационные и коммуникационные технологии",Разработка технической документации и методического обеспечения продукции в сфере информационных технологий,197,2014-09-08,Совет по профессиональным квалификациям в области информационных технологий
30.001,Специалист по проектированию и конструированию в судостроении,Судостроение,"Проектирование и конструирование судов, плавучих конструкций и их составных частей",198,2014-09-08,Совет по профессиональным квалификациям в отрасли судостроения и морской техники
31.001,Специалист промышленного инжиниринга в автомобилестроении,Автомобилестроение,Управление производственной системой и ее развитие в производстве транспортных средств и оборудования,200,2014-10-13,Совет по профессиональным квалификациям в автомобилестроении
40.056,"Специалист по технико-экономическому сопровождению полного жизненного цикла изделий из полимерных материалов и композитов, в том числе наноструктурированных",Сквозные виды профессиональной деятельности,"Осуществление технической, технологической, маркетинговой и экономической деятельности организации для обеспечения полного жизненного цикла продукции из полимерных материалов и композитов, в том числе",201,17.10.2022,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
31.002,Работник по мехатронике в автомобилестроении,Автомобилестроение,"Монтаж, техническое обслуживание и ремонт мехатронных систем производственного оборудования в автомобилестроении",202,2014-10-28,Совет по профессиональным квалификациям в автомобилестроении
31.003,Работник по инструментальной оснастке в автомобилестроении,Автомобилестроение,Производство инструментальной оснастки для изготовления автотранспортных средств и их компонентов,203,2014-10-13,Совет по профессиональным квалификациям в автомобилестроении
31.004,Специалист по техническому обслуживанию и ремонту мехатронных систем автотранспортных средств и их компонентов в автомобилестроении,Автомобилестроение,Ремонт и обслуживание мехатронных систем автотранспортных средств в автомобилестроении,204,2014-10-13,Совет по профессиональным квалификациям в автомобилестроении
30.002,Маляр судовой,Судостроение,Малярные работы при постройке и ремонте судов и плавучих сооружений,205,2014-10-09,Совет по профессиональным квалификациям в отрасли судостроения и морской техники
06.020,Кабельщик-спайщик,"Связь, информационные и коммуникационные технологии",Эксплуатационно-техническое обслуживание линейно-кабельных сооружений связи,206,2014-10-10,"Совет по профессиональным квалификациям в области телекоммуникаций, почтовой связи и радиотехники"
06.021,Антенщик-мачтовик,"Связь, информационные и коммуникационные технологии","Монтаж, эксплуатация и техническое обслуживание антенно-мачтовых сооружений",207,2014-10-10,"Совет по профессиональным квалификациям в области телекоммуникаций, почтовой связи и радиотехники"
